Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
18/10/2016,42.73,42.23,43.04,42.15,3.06M,2.10%,0.004230317
19/10/2016,42.65,42.92,43.07,42.24,7.26M,-0.19%,-0.012959963
20/10/2016,43.05,42.41,43.24,42.22,3.05M,0.94%,0.008432888
21/10/2016,44.09,42.66,44.27,42.56,4.81M,2.42%,0.042809839
24/10/2016,43.78,44.14,44.33,43.57,5.06M,-0.70%,0.055448409
25/10/2016,43.69,43.83,44.59,43.38,6.61M,-0.21%,0.043966547
26/10/2016,44.26,43.32,44.89,43.26,6.61M,1.30%,0.037992495
27/10/2016,42.81,44.05,44.16,41.5,13.68M,-3.28%,0.077252139
28/10/2016,42.82,42.56,43.04,41.88,8.27M,0.02%,0.05493964
31/10/2016,43.59,43.21,43.96,43.18,8.74M,1.80%,0.064208984
01/11/2016,42.34,44.28,44.91,41.74,12.85M,-2.87%,0.023199613
02/11/2016,41,41.89,42.53,40.7,7.10M,-3.16%,-0.030044949
03/11/2016,41.18,41.21,41.46,40.01,5.77M,0.44%,-0.027856468
04/11/2016,41.23,41,41.77,40.93,3.25M,0.12%,-0.012927939
07/11/2016,42.6,41.98,42.62,41.82,7.40M,3.32%,0.003060984
08/11/2016,41.82,42.53,42.54,41.66,4.41M,-1.83%,-0.003336511
09/11/2016,43.57,41.52,43.91,41.43,8.59M,4.18%,0.045847336
10/11/2016,43.82,43.55,44.6,43.27,5.94M,0.57%,0.054379211
11/11/2016,43.96,43.61,44.06,42.92,6.50M,0.32%,0.055462185
14/11/2016,43.59,43.61,44.19,43.37,6.75M,-0.84%,0.041577061
15/11/2016,43.83,43.69,44.34,42.78,8.54M,0.55%,0.025743038
16/11/2016,43.49,43.6,43.88,43.11,4.17M,-0.78%,0.019695193
17/11/2016,43.36,43.85,44.29,43.19,3.99M,-0.30%,0.007200929
18/11/2016,43.31,43.2,43.6,42.57,4.89M,-0.12%,-0.017691086
21/11/2016,47.17,45.4,47.28,44.9,20.27M,8.91%,0.077432618
22/11/2016,47.87,47.45,48.81,47.33,13.04M,1.48%,0.095674067
23/11/2016,47.71,47.5,48.12,47.31,4.40M,-0.33%,0.077948486
25/11/2016,48.2,47.48,48.23,47.37,1.99M,1.03%,0.125905162
28/11/2016,47.05,48.52,48.83,46.96,5.62M,-2.39%,0.098785614
29/11/2016,45.98,46.59,46.95,45.87,7.76M,-2.27%,0.054829089
30/11/2016,47.02,46.26,47.27,44.6,11.08M,2.26%,0.110533774
01/12/2016,47.74,47.49,49.29,47.19,8.71M,1.53%,0.164390244
02/12/2016,47.8,47.65,48.69,47.65,4.42M,0.13%,0.160757649
05/12/2016,48.01,48.27,48.62,47.67,4.81M,0.44%,0.164443366
06/12/2016,47.23,47.89,47.91,47.15,5.35M,-1.62%,0.108685446
07/12/2016,49.65,47.85,50.29,47.65,9.69M,5.12%,0.18723099
08/12/2016,50.06,50.1,50.71,49.57,5.21M,0.83%,0.148955703
09/12/2016,49.44,49.95,50.58,49.16,6.29M,-1.24%,0.12825194
12/12/2016,49.09,50.43,50.65,48.47,5.55M,-0.71%,0.116696997
13/12/2016,49.24,49.32,49.78,48.93,4.92M,0.31%,0.129616885
14/12/2016,48.42,48.74,49.48,48.31,5.24M,-1.67%,0.104722793
15/12/2016,48.88,48.39,49.25,48.39,5.44M,0.95%,0.123936537
16/12/2016,50.11,49.15,50.48,49,6.77M,2.52%,0.155673432
19/12/2016,49.44,49.69,49.78,49.01,4.20M,-1.34%,0.141537751
20/12/2016,49.38,49.6,49.81,49.06,3.37M,-0.12%,0.046851813
21/12/2016,48.99,49.2,49.37,48.1,8.13M,-0.79%,0.023396699
22/12/2016,50.34,49.33,50.7,49.28,6.11M,2.76%,0.055124712
23/12/2016,50.78,50.14,51,49.87,3.35M,0.87%,0.053526971
27/12/2016,51.12,50.81,51.14,50.67,3.50M,0.67%,0.086503719
28/12/2016,50.33,51.07,51.15,50.29,3.24M,-1.55%,0.094606351
29/12/2016,50.45,50.36,51.08,50.08,2.68M,0.24%,0.072947682
30/12/2016,50.35,50.44,50.61,50,3.48M,-0.20%,0.054671135
03/01/2017,52.93,53.7,54.59,52.44,13.33M,5.12%,0.107322176
04/01/2017,51.24,52.95,53.5,51.03,10.98M,-3.19%,0.06727765
05/01/2017,51.05,51.5,51.79,50.03,9.53M,-0.37%,0.080880796
06/01/2017,50.37,51.11,51.25,50.29,4.75M,-1.33%,0.014501511
09/01/2017,49.46,50.05,50.22,49.36,8.04M,-1.81%,-0.011985617
10/01/2017,48.97,49.5,49.96,48.97,5.12M,-0.99%,-0.009506472
11/01/2017,49.66,49.4,50,49.1,6.68M,1.41%,0.011611326
12/01/2017,49.25,49.61,49.73,48.73,3.95M,-0.83%,0.000203087
13/01/2017,48.38,48.91,49.14,47.85,5.76M,-1.77%,-0.000826105
17/01/2017,48.73,48.64,49.6,48.26,5.12M,0.72%,-0.00306874
18/01/2017,48.9,48.34,49.34,48.2,3.75M,0.35%,-0.024146877
19/01/2017,48.37,48.94,49.02,47.93,4.19M,-1.08%,-0.021642395
20/01/2017,48.76,48.8,49.04,48.41,5.03M,0.81%,-0.012555691
23/01/2017,48.72,48.56,48.77,48.12,8.15M,-0.08%,-0.005511329
24/01/2017,50.09,49.12,50.48,48.97,7.32M,2.81%,-0.00496623
25/01/2017,49.67,50.29,50.31,49.16,7.58M,-0.84%,-0.021859
26/01/2017,49.44,50.09,50.09,49.28,4.33M,-0.46%,-0.03286385
27/01/2017,49.08,49.59,50,48.67,5.08M,-0.73%,-0.024836082
30/01/2017,48.36,49.12,49.2,48.12,5.47M,-1.47%,-0.041427156
31/01/2017,48.05,48.54,48.6,46.88,5.31M,-0.64%,-0.045680238
01/02/2017,47.71,49.68,49.97,47.1,7.66M,-0.71%,-0.09862082
02/02/2017,47.9,48.44,48.5,47.43,4.15M,0.40%,-0.06518345
03/02/2017,48.16,47.84,48.5,47.17,3.78M,0.54%,-0.056611166
06/02/2017,48.37,48.19,48.75,47.8,7.98M,0.44%,-0.039706174
07/02/2017,47.93,48.13,48.51,47.58,4.00M,-0.91%,-0.030934088
08/02/2017,49.12,47.57,49.13,47.39,4.46M,2.48%,0.0030631
09/02/2017,49.93,49.65,50.08,49.23,4.23M,1.65%,0.005436971
10/02/2017,50.14,50.37,50.47,49.68,2.79M,0.42%,0.018071066
13/02/2017,50.28,50.13,50.68,49.92,3.26M,0.28%,0.039272427
14/02/2017,50.96,50.03,50.97,49.7,4.36M,1.35%,0.045762364
15/02/2017,50.64,50.79,51.16,50.27,4.40M,-0.63%,0.035582822
16/02/2017,49.96,50.99,51,49.86,2.96M,-1.34%,0.032871615
17/02/2017,50.02,49.67,50.05,49.41,3.35M,0.12%,0.025840853
21/02/2017,50.38,50.48,50.61,49.99,3.96M,0.72%,0.03407225
22/02/2017,49.81,50.1,50.37,49.57,3.16M,-1.13%,-0.005589938
23/02/2017,50.35,50.39,50.65,49.92,2.67M,1.08%,0.013690356
24/02/2017,50.03,50,50.04,49.43,3.12M,-0.64%,0.011933657
27/02/2017,50.76,50.02,50.94,49.99,5.13M,1.46%,0.034229829
28/02/2017,49.6,50.5,51.17,49.48,5.66M,-2.29%,0.025641026
01/03/2017,50.99,50,51.5,49.97,5.95M,2.80%,0.061186264
02/03/2017,51.04,50.9,51.41,50.4,4.95M,0.10%,0.069796688
03/03/2017,51.27,51.18,51.38,50.8,4.00M,0.45%,0.070354906
06/03/2017,51.15,51.04,51.31,50.51,6.83M,-0.23%,0.062084718
07/03/2017,50.15,51.14,51.45,50.11,3.41M,-1.96%,0.036799669
08/03/2017,50.22,50.15,50.94,50.08,5.85M,0.14%,0.04777801
09/03/2017,49.28,50.02,50.18,48.92,4.95M,-1.87%,0.003257329
10/03/2017,49.87,49.58,49.95,48.97,4.70M,1.20%,-0.001201682
13/03/2017,50.99,49.87,51.09,49.86,5.77M,2.25%,0.016952533
14/03/2017,50.01,50.42,50.59,49.67,5.88M,-1.92%,-0.005369928
15/03/2017,51.56,50.48,51.6,50.16,6.30M,3.10%,0.01177394
16/03/2017,51.18,51.65,52.24,51.11,5.22M,-0.74%,0.010663507
17/03/2017,50.79,51.47,51.75,50.55,5.31M,-0.76%,0.016613291
20/03/2017,50.5,50.66,50.81,50.16,5.60M,-0.57%,0.009596162
21/03/2017,49.26,50.48,50.61,49.15,5.19M,-2.46%,-0.022231044
22/03/2017,49.57,49.11,49.83,48.93,4.05M,0.63%,-0.00481831
23/03/2017,49.3,49.55,49.95,49.18,2.72M,-0.54%,-0.020854022
24/03/2017,48.87,49.51,49.52,48.81,3.56M,-0.87%,-0.023186088
27/03/2017,48.83,48.38,49.06,48.18,3.19M,-0.08%,-0.038022065
28/03/2017,49.03,48.93,49.16,48.61,4.07M,0.41%,-0.011491935
29/03/2017,50.55,49.02,50.62,48.97,3.87M,3.10%,-0.008629143
30/03/2017,50.14,50.6,50.81,50,5.89M,-0.81%,-0.017633229
31/03/2017,50.54,49.89,50.84,49.83,4.85M,0.80%,-0.014238346
03/04/2017,49.94,50.68,50.84,49.63,2.75M,-1.19%,-0.023655914
04/04/2017,50.3,50.22,50.32,49.54,2.45M,0.72%,0.002991027
05/04/2017,49.44,50.66,51.18,49.4,4.06M,-1.71%,-0.015531661
06/04/2017,49.84,49.67,50.45,49.49,4.54M,0.81%,0.011363636
07/04/2017,50.02,49.75,50.43,49.51,3.53M,0.36%,0.00300782
10/04/2017,50.14,50.32,50.8,50.12,3.77M,0.24%,-0.016669935
11/04/2017,50.43,50.19,50.54,49.91,4.54M,0.58%,0.00839832
12/04/2017,49.94,50.58,50.94,49.83,2.99M,-0.97%,-0.031419705
13/04/2017,49.24,49.86,50,49.1,3.37M,-1.40%,-0.037905432
17/04/2017,49.9,49.28,49.95,49.27,3.56M,1.34%,-0.017523134
18/04/2017,48.94,49.6,50.01,48.64,3.53M,-1.92%,-0.030891089
19/04/2017,48.19,48.8,49.16,47.78,5.53M,-1.53%,-0.021721478
20/04/2017,48.54,48.28,49.02,48.13,3.07M,0.73%,-0.020778697
21/04/2017,48.56,48.51,49,48.36,4.20M,0.04%,-0.015010142
24/04/2017,50.19,49.36,50.44,49.11,5.27M,3.36%,0.027010436
25/04/2017,50.03,50.27,50.41,49.89,3.81M,-0.32%,0.024575056
26/04/2017,49.6,49.74,50.11,49.32,4.89M,-0.86%,0.011625535
27/04/2017,51.02,49.47,51.62,49.46,6.79M,2.86%,0.009297725
28/04/2017,50.94,51.32,51.33,50.68,3.65M,-0.16%,0.015955325
01/05/2017,50.86,51.15,51.18,50.48,3.34M,-0.16%,0.006331619
02/05/2017,51.42,51.08,51.62,51.02,4.86M,1.10%,0.029635563
03/05/2017,51.24,51.11,51.69,50.88,4.53M,-0.35%,0.018687873
04/05/2017,49.56,51.11,51.11,49.37,5.86M,-3.28%,0.002427184
05/05/2017,50.66,49.78,50.73,49.46,5.81M,2.22%,0.016452648
08/05/2017,51.34,50.62,51.5,50.41,5.92M,1.34%,0.026389444
09/05/2017,51.46,51.5,51.68,50.97,3.97M,0.23%,0.026326286
10/05/2017,52.34,51.83,52.66,51.31,5.97M,1.71%,0.037874281
11/05/2017,52.51,52.5,53.24,52.27,4.70M,0.32%,0.051461754
12/05/2017,52.67,52.42,53.04,52.38,2.95M,0.30%,0.069658814
15/05/2017,52.99,52.97,53.52,52.52,4.79M,0.61%,0.061923848
16/05/2017,52.48,52.73,52.73,51.77,5.05M,-0.96%,0.07233347
17/05/2017,52.05,51.79,52.84,51.79,4.35M,-0.82%,0.080099606
18/05/2017,51.94,51.66,52.46,51.3,4.09M,-0.21%,0.070045323
19/05/2017,52.78,52.16,53.1,51.91,4.72M,1.62%,0.086902801
22/05/2017,52.98,52.94,53.18,52.69,2.41M,0.38%,0.055588763
23/05/2017,53.08,53,53.32,52.75,2.20M,0.19%,0.060963422
24/05/2017,53.13,52.94,53.27,52.76,2.92M,0.09%,0.071169355
25/05/2017,52.45,53.15,53.91,52.43,3.95M,-1.28%,0.028028224
26/05/2017,52.82,52.42,52.87,52.24,3.84M,0.71%,0.036906164
30/05/2017,52.42,52.42,53.19,52.32,4.00M,-0.76%,0.030672434
31/05/2017,52.04,52.3,52.77,51.63,4.57M,-0.72%,0.012057565
01/06/2017,53.13,52.43,53.57,52.38,8.75M,2.09%,0.036885246
02/06/2017,52.7,52.86,53.13,52.44,4.46M,-0.81%,0.063357546
05/06/2017,52.8,52.57,53.16,52.44,3.26M,0.19%,0.0422424
06/06/2017,53.09,52.58,53.16,52.42,3.25M,0.55%,0.034086482
