Date,Price,Open,High,Low,Vol.,Change_Short,Change_Long
19/09/2022,112.87,109.8,113.48,109.43,6.60M,-0.23%,0.07352102
20/09/2022,112.07,112.55,112.84,110.54,5.66M,-0.71%,0.064899278
21/09/2022,111.09,114.17,114.89,111.06,5.82M,-0.87%,0.024343015
22/09/2022,110.06,113.2,113.85,109.93,4.97M,-0.93%,-0.004162143
23/09/2022,100.59,105.09,105.27,99.6,10.16M,-8.60%,-0.10251606
26/09/2022,99.2,100.09,102.72,99.12,8.72M,-1.38%,-0.115233678
27/09/2022,98.76,101.37,102.58,98.52,8.78M,-0.44%,-0.1292541
28/09/2022,103,98.83,103.44,98.46,9.21M,4.29%,-0.067873303
29/09/2022,103.66,101.59,104.09,99.89,5.93M,0.64%,-0.052900868
30/09/2022,102.34,102.43,103.93,101,7.17M,-1.27%,-0.0482656
03/10/2022,109.97,106.93,110.84,106.53,7.70M,7.46%,-0.002630147
04/10/2022,115.62,112.47,115.85,111.72,7.58M,5.14%,0.064346866
05/10/2022,115.93,116.25,117.25,113.76,10.07M,0.27%,0.085893593
06/10/2022,117.65,114.79,118.36,114.68,6.39M,1.48%,0.086133678
07/10/2022,118.51,118.14,121.36,117.32,9.37M,0.73%,0.058408502
10/10/2022,116.8,118.61,120.44,115.45,5.88M,-1.44%,0.021068275
11/10/2022,115.58,114.11,118.11,113.21,7.60M,-1.04%,0.028932609
12/10/2022,116.3,114.76,117.34,113.99,6.22M,0.62%,-0.011978591
13/10/2022,122.74,114.5,123.41,114.43,8.00M,5.54%,0.062132226
14/10/2022,117.96,121.09,122.98,117.04,7.65M,-3.89%,0.042694246
17/10/2022,118.36,119.78,121.44,118.02,6.67M,0.34%,0.048640028
18/10/2022,117.89,119.58,120.04,115.7,6.83M,-0.40%,0.051931828
19/10/2022,121.11,118.42,121.6,118.09,5.50M,2.73%,0.090197137
20/10/2022,121.81,122.5,124.91,121.78,6.46M,0.58%,0.106759949
21/10/2022,124.49,122.67,124.76,121.57,5.89M,2.20%,0.237598171
24/10/2022,125.14,124.53,126.4,124.2,5.73M,0.52%,0.261491935
25/10/2022,123.94,124.33,125.49,122.88,7.00M,-0.96%,0.254961523
26/10/2022,126.57,124.72,128.18,124.58,8.14M,2.12%,0.228834951
