Date,Price,Open,High,Low,Vol,Change_Short,Change_Long
02/11/2018,114.73,114.85,117.11,113.12,9.89M,3.20%,-0.084576717
05/11/2018,118.94,116.62,119.67,116.6,8.76M,3.67%,-0.047260493
06/11/2018,118.9,118.76,119.43,117.85,5.27M,-0.03%,-0.062450718
07/11/2018,120.87,120,121.12,119.02,4.85M,1.66%,-0.01411093
08/11/2018,119.36,120.65,121.87,118.96,9.53M,-1.25%,0.00785274
09/11/2018,119.51,118.22,120.37,117.37,6.57M,0.13%,0.014774561
12/11/2018,117.39,120.9,121.37,117.17,10.55M,-1.77%,0.003848127
13/11/2018,115.35,117.3,117.88,115.04,6.85M,-1.74%,-0.018381414
14/11/2018,115.72,116.88,117.79,114.94,6.78M,0.32%,-0.013385625
15/11/2018,116.95,113.66,117.08,112.72,7.22M,1.06%,-0.004426662
16/11/2018,119.06,117.5,119.27,117.27,6.71M,1.80%,0.007787371
19/11/2018,119.42,118.14,119.48,117.9,5.33M,0.30%,0.018855046
20/11/2018,116.1,119.24,119.5,115.03,7.98M,-2.78%,0.023809524
21/11/2018,117.57,116.68,119.19,116.68,5.62M,1.27%,0.066781599
23/11/2018,113.6,114.7,115.22,112.11,5.58M,-3.38%,0.018103603
26/11/2018,114.98,114.6,115.44,114.02,6.95M,1.21%,0.030933381
27/11/2018,115.21,114.55,115.66,114.22,6.34M,0.20%,0.057651703
28/11/2018,118.14,114.98,118.28,114.4,6.84M,2.54%,0.065764547
29/11/2018,118.85,117.95,119.73,117.74,6.66M,0.60%,0.064487237
30/11/2018,118.94,118.05,119.21,117.7,6.71M,0.08%,0.069892957
03/12/2018,120.67,120.77,122.43,120.06,8.24M,1.45%,0.05177373
04/12/2018,117.24,120.6,121.09,117.06,8.29M,-2.84%,-0.014292921
06/12/2018,115.91,115.34,116.14,113.03,10.72M,-1.13%,-0.025147183
07/12/2018,115.49,117.59,119.7,115.19,9.11M,-0.36%,-0.044510631
10/12/2018,114.94,115.3,115.96,111.67,7.67M,-0.48%,-0.037030831
11/12/2018,115.47,116.26,116.62,113.95,5.93M,0.46%,-0.033804703
12/12/2018,115.62,117.11,117.72,115.57,7.89M,0.13%,-0.015077945
13/12/2018,115.94,115.15,116.32,114.31,7.03M,0.28%,0.005114868
14/12/2018,113.83,115.01,115.81,113.31,6.20M,-1.82%,-0.016332527
17/12/2018,112.45,113.44,114.97,111.86,7.13M,-1.21%,-0.038477982
18/12/2018,109.74,112.63,113.24,108.95,9.66M,-2.41%,-0.078279859
19/12/2018,107.83,109.91,111.99,107.1,10.47M,-1.74%,-0.09705242
20/12/2018,104.98,106.81,108.07,104.19,11.61M,-2.64%,-0.0957795
21/12/2018,104.21,103.62,106.94,102.91,19.91M,-0.73%,-0.113634431
24/12/2018,100.99,103.3,104.15,100.91,5.62M,-3.09%,-0.111003521
26/12/2018,107.39,101.85,107.39,100.22,10.78M,6.34%,-0.06601148
27/12/2018,109.32,105.47,109.33,104.88,10.66M,1.80%,-0.051124034
